,  Job No.,Date Received Cust. PO,Customer,EOG & STSB PO,Customer PO,Items,Selling Price Currency,Selling Price,Customer Terms,Inspection Report    No.,Sales Order Ack.,Customer Expected Date,Goods Ready Date,Inv. Date,Exact Inv.,Exact DO.,EOG & STSB DO.,Service Report,Sales Person,Exact PO Date,PO Faxed Out Date,Exact PO No.,Principal / Suppliers,Code,Currency, Buying Price ,Principal / Supplier Terms,Principal / Supplier Order Ack.,Schedule Ship Date,Principal / Supplier Actual Ship Date,Principal / Supplier Invoice No.,Payment to Principal / Supplier Date,AWB No.,Goods Received Date,Duty & Tax RM,Freight Cost RM,Remarks,Total Job,Delivery Schedule Not Met,Purchasing Objective 1,Principal / Supplier Delivery Objectives,Purchasing Objectives Overdue Days,Project ,Date of Approval Drawing,Purchasing Objective 2,Malaysia Holidays,Description
T,0160/16,12-Feb-16,Sceptre Marketing ,-,PO/SM/KK/16-006,BW GasAlertMax XT II ,RM," 3,230.00 ",COD,IR0160/16,SO0160/16,29-Feb-16,29-Feb-16,29-Feb-16,10741,10741,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30291,0,0,0 ,,
T,0161/16,15-Feb-16,Shell Refining Company (FOM) Berhad ,-,4518080715,BW GasAlertClip Extreme 2 H2S ,RM," 3,400.00 ",30 Days,IR0161/16,SO0161/16,16-Feb-16,15-Feb-16,15-Feb-16,10669,10669,-,-,kaili,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
T,0162/16,15-Feb-16,Gelombang Timur Supply & Services Sdn Bhd ,-,16-0070,BW Clip H2S,RM," 13,500.00 ",30 Days,IR0162/16,SO0162/16,4-Mar-16,2-Mar-16,2-Mar-16,10766,10766,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
T,0163/16,15-Feb-16,Sedia Teguh Sdn Bhd (ExxonMobil) ,,4501192611,Oxygen Sensor ,RM," 5,189.10 ",30 Days,IR0163/16,SO0163/16,,,,,,,-,rahimah,,,,,,,,,,,,,,,,,,According to Rahimah this order has been cancel by end user,1,0,0,0,-30292,0,0,0 ,,
T,0164/16,15-Feb-16,F&B Nutrition Sdn Bhd ,-,PFT1600591,Servomex - 5200 Food pack spares,RM," 1,100.00 ",30 Days,IR0164/16,SO0164/16,17-Feb-16,17-Feb-16,17-Feb-16,10679,10679,-,-,yewking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
L,0165/16,15-Feb-16,Linde Malaysia Sdn Bhd ,-,9300074509,"Calibration charges for GasAlertMicro 5, GasAlert MicroClip XL, GasAlertExtreme CO, GasAlertExtreme O2, Replacement Oxygen Sensor, Replacement CR2 Battery ",RM," 2,110.00 ",60 Days ,IR0165/16,SO0165/16,17-Feb-16,17-Feb-16,17-Feb-16,10682,10682,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
T,0166/16,15-Feb-16,Lafarge Cement Sdn Bhd ,-,16000735OP/30002,"Procal-Circuit,Integrated",RM , 250.00 ,30 Days,IR0166/16,SO0166/16,31-Mar-16,4-Mar-16,4-Mar-16,10784,10784,-,-,kevin,25-Feb-2016,25-Feb-2016,3570,RS Components Sdn Bhd,MISC,RM, 93.12 ,30 Days,-,26-Feb-16,26-Feb-16,,,-,26-Feb-16,-,-,,1,0,1,0,9,0,0,0 ,,
T,0167/16,15-Feb-16,Oceanic Chemicals and Instruments Sdn Bhd ,-,25541,BW GasAlertMax XT II ,RM," 3,485.00 ",COD,IR0167/16,SO0167/16,29-Feb-16,29-Feb-16,29-Feb-16,10745,10745,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
T,0168/16,15-Feb-16,Sribima Maritime Training Centre Sdn Bhd ,-,PO002/02/16,BW GasAlertClip Extreme 2 H2S ,RM," 6,250.00 ",COD,IR0168/16,SO0168/16,17-Feb-16,17-Feb-16,17-Feb-16,10678,10678,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30292,0,0,0 ,,
L,0169/16,16-Feb-16,A Hak Industrial Services SEA Sdn Bhd ,-,LPO002/2016,Calibration charges for GasAlertMicroClip XL ,RM , 600.00 ,COD,IR0169/16,SO0169/16,17-Feb-16,17-Feb-16,17-Feb-16,10681,10681,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
T,0170/16,16-Feb-16,Gamlite Marketing (M) Sdn Bhd ,-,16007,Quad Gas Cylinder ,RM," 2,400.00 ",30 Days,IR0170/16,SO0170/16,19-Feb-16,19-Feb-16,19-Feb-16,10687,10687,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
T,0171/16,16-Feb-16,Southern Acids Industries Sdn Bhd,-,SAISB0014028,BW GasAlertMax XT II ,RM ," 3,900.00 ",COD,IR0171/16,SO0171/16 ,29-Feb-16,29-Feb-16,29-Feb-16,10749,,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
T,0172/16,16-Feb-16,Maantek Enterprise ,-,001546,Michell - Cermet II Hygrometer ,RM ," 77,490.00 ",COD,IR0172/16,SO0172/16,29-Mar-16,4-Apr-16,4-Apr-16,10925,,-,-,syairah,17-Feb-2016,17-Feb-2016,3563,Michell Instruments Ltd ,MICH ,GBP ," 6,886.80 ",30 Days,A49489,24-Mar-16,24-Mar-16,,,FEDEX#7759 5001 8730,29-Mar-16,2753.57,711.34,,1,1,0,0,2,0,0,0 ,,
T,0172/16,16-Feb-16,Maantek Enterprise ,-,,,,,,,,,,,,,-,-,syairah,29-Apr-2016,29-Apr-2016,3563-A,Michell Instruments Ltd ,MICH ,GBP, 302.46 ,30 Days,-,13-May-2016,13-May-2016,,,FEDEX#8710 4191 6513,16-May-2016,112.49,,,0,0,0,0,54,0,0,0 ,,
T,0173/16,16-Feb-16,Sceptre Marketing ,-,PO/SM/KK/16-010,Collapsible Sampling Probe with Handle,RM ," 2,550.00 ",COD,IR0173/16,SO0173/16,18-Feb-16,18-Feb-16,18-Feb-16,10685,10685,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
L,0174/16,16-Feb-16,Syarikat Emastika Sdn Bhd ,-,Verbal ,"Calibration charges for GasAlertMicroClip XT, Replacement Oxygen Sensor ",RM," 1,155.00 ",COD,IR0174/16,SO0174/16,17-Feb-16,17-Feb-16,17-Feb-16,10677,10677,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
L,0175/16,16-Feb-16,JSM Enterprise ,-,Verbal ,Calibration charges for GasAlertMicroClip XT ,RM, 300.00 ,COD,IR0175/16,SO0175/16,17-Feb-16,17-Feb-16,17-Feb-16,10676,10676,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30293,0,0,0 ,,
T,0176/16,17-Feb-16,Exact Oil & Gas Sdn Bhd (Petronas Chemicals Derivatives Sdn Bhd) ,PO 006/16,4120136595,Servomex - Oxygen Analyzer ,RM," 6,742.50 ",30 Days,IR0176/16,SO0176/16,14-Mar-16,14-Mar-16,14-Mar-16,10834,,,-,yewking,23-Feb-2016,23-Feb-2016,3567,Servomex Asia Pacific Business Centre ,SERVOMEX ,EUR, 906.15 ,30 Days,-,8-Mar-16,8-Mar-16,,,FEDEX#7758 1874 1673,11-Mar-16,275.46,166.58,,1,0,0,0,5,0,0,0 ,,
L,0177/16,17-Feb-16,Pahang Cement Sdn Bhd ,-,1200003908,Calibration charges for GasAlertMicro 5 ,RM , 300.00 ,60 Days ,IR0177/16,SO0177/16,24-Feb-16,24-Feb-16,24-Feb-16,10710,10710,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30294,0,0,0 ,,
L,0178/16,17-Feb-16,Coolrich Engineering (M) Sdn Bhd ,-,PO/6524/0216,Calibration charges for GasAlertMicroClip XT ,RM, 570.00 ,COD,IR0178/16,SO0178/16,17-Feb-16,17-Feb-16,17-Feb-16,10683,10683,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30294,0,0,0 ,,
S,0179/16,17-Feb-16,Kemaman Bitumen Company Sdn Bhd ,-,4500012897,Service charges for Procal Analyser ,RM ," 2,400.00 ",COD,IR0179/16,SO0179/16 ,21-Mar-16,21-Mar-16,21-Mar-16,10861,10861,-,"SR10501, 10502",daniel,,,,,,,,,,,,,,,,,,,1,0,0,0,-30294,0,0,0 ,,
L,0180/16,18-Feb-16,Sealink Sdn Bhd ,-,SSB-PO1602/2555,Calibration chargesfor GasAlertMax XT II ,RM, 260.00 ,30 Days,IR0180/16,SO0180/16,23-Feb-16,23-Feb-16,23-Feb-16,10707,10707,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30295,0,0,0 ,,
T,0181/16,18-Feb-16,Arenax Sdn Bhd ,-,1800,BW GasAlertMax XT II ,RM," 3,450.00 ",COD,IR0181/16,SO0181/16,22-Feb-16,22-Feb-16,22-Feb-16,10691,10691,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30295,0,0,0 ,,
L,0182/16,18-Feb-16,Alchemy Laboratory & Services Sdn Bhd ,-,PO/1008/16 ,Calibration charges for GasAlertMicroClip XT ,RM , 280.00 ,COD,IR0182/16,SO0182/16,18-Feb-16,18-Feb-16,18-Feb-16,10684,10684,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30295,0,0,0 ,,
L,0183/16,18-Feb-16,A&A Scientific Resources Sdn Bhd ,-,0027/16-Feb ,"Bacharach PCA3, O2 Sensor, Notric Oxide Sensor ",RM ," 4,400.00 ",COD,IR0183/16,SO0183/16,2-Mar-16,2-Mar-16,2-Mar-16,10765,10765,-,-,omar ,18-Feb-2016,18-Feb-2016,3564,"Bacharach, Inc",BACH,USD, 600.00 ,30 Days,-,23-Feb-16,23-Feb-16,,,FEDEX#6114 0438 6346,29-Feb-16,161.14,152.11,,1,0,0,0,1,0,0,0 ,,
T,0184/16,19-Feb-16,Exact Oil & Gas Sdn Bhd (ExxonMobil) ,PO 008/16,4501194720,General Monitors - Sensor,RM," 13,256.03 ",30 Days,IR0184/16,SO0184/16,15-Mar-16,11-Mar-16,11-Mar-16,10827,-,018/16,-,firdaus,19-Feb-2016,19-Feb-2016,3565,General Monitors,GM,USD," 1,448.40 ",30 Days,400478184,15-Mar-16,3-Mar-16,,,FEDEX#6590 9556 3934,9-Mar-16, 5.00 ,501.44,Pro-Increase Place Sdn Bhd #Inv:00013172 Dtd: 10/4/2016 (RM159.00),1,0,0,0,1,0,0,0 ,,
L,0185/16,19-Feb-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Group Berhad) ,5393/2016,3020165339,"Calibration charges for Micro5 PID, MicroClip XT",RM ," 1,815.00 ",30 Days,IR0185/16,SO0185/16,4-Mar-16,4-Mar-16,4-Mar-16,10785,-,2016/802,-,hafiz,,,,,,,,,,,,,,,,,,,1,0,0,0,-30296,0,0,0 ,,
T,0186/16,19-Feb-16,Jaks Sdn Bhd ,-,PO-00130,BW GasAlertMax XT II ,RM ," 3,800.00 ",COD,IR0186/16,SO0186/16,25-Feb-16,29-Feb-16,29-Feb-16,10748,,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,1,0,0,-30296,0,0,0 ,,
L,0187/16,19-Feb-16,Teknologi Enviro-Kimia (M) Sdn Bhd ,-,PO-02530,Calibration charges for GasAlertMicroClip XT ,RM , 300.00 ,COD,IR0187/16,SO0187/16,22-Feb-16,22-Feb-16,22-Feb-16,10694,10694,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30296,0,0,0 ,,
T,0188/16,19-Feb-16,EnviroEquip Sales & Rentals (M) Sdn Bhd,-,1602004JM,BW GasAlertExtreme H2S Single Gas Detector,RM ," 1,300.00 ",COD,IR0188/16,SO0188/16,22-Feb-16,22-Feb-16,22-Feb-16,10693,10693,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30296,0,0,0 ,,
T,0189/16,22-Feb-16,Press Metal Bintulu Sdn Bhd ,-,PMBSB2016 872,MDM300-STD,RM," 21,755.00 ",COD,IR0189/16,SO0189/16,4-Apr-16,5-Apr-16,5-Apr-16,10926,,-,-,syairah,22-Feb-2016,22-Feb-2016,3566,Michell Instruments Ltd ,MICH ,GBP ," 1,938.60 ",30 Days,A49582,24-Mar-16,24-Mar-16,,,FEDEX#7759 5001 8730,29-Mar-16,458.93,200.24,,1,1,0,0,1,0,0,0 ,,
L,0190/16,22-Feb-16,SPS Coporation Sdn Bhd ,-,Verbal ,"Calibration charges for GasAlertMax XT II, Replacement Oxygen Sensor, Replacement PCB ",RM ," 2,750.00 ",COD,IR0190/16,SO0190/16,22-Feb-16,22-Feb-16,22-Feb-16,10692,10692,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,5407/2016,4512591608,"2016 Gas Detector Monthly Rental (RM45,058.00)",,,,IR0191/16-Gumusut,SO0191/16-Gumusut,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,,Rental Month - Jan'16,RM," 10,369.50 ",30 Days,IR0191/16-Gumusut,SO0191/16-Gumusut,9-Mar-16,9-Mar-16,9-Mar-16,10802,,-,-,rahimah ,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,,Rental Month - Feb'16,RM," 9,439.50 ",30 Days,IR0191/16-Gumusut,SO0191/16-Gumusut,9-Mar-16,9-Mar-16,9-Mar-16,10803,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,,Rental Month -  1 Mar'16 - 21 Mar'16,RM," 5,449.50 ",30 Days,IR0191/16-Gumusut,SO0191/16-Gumusut,4-May-16,4-May-16,4-May-16,11047,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,4512734470,"2016 Gas Detector Monthly Rental  (RM77,850.00)",,,,IR0191/16-Gumusut,SO0191/16-Gumusut,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,,,RM,,30 Days,IR0191/16-Gumusut,SO0191/16-Gumusut,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-Gumusut,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Gumusut) ,,,,RM,,30 Days,IR0191/16-Gumusut,SO0191/16-Gumusut,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,5411/2016,4512606945,"2016 Gas Detector Monthly Rental  (RM14,689.35)",,,,IR0191/16-F06,SO0191/16-F06,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,,,Rental Month - Jan'16,RM," 4,896.46 ",30 Days,IR0191/16-F06,SO0191/16-F06,9-Mar-16,9-Mar-16,9-Mar-16,10812,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,,,Rental Month - Feb'16,RM," 4,896.46 ",30 Days,IR0191/16-F06,SO0191/16-F06,9-Mar-16,9-Mar-16,9-Mar-16,10813,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,,,Rental Month - 1 Mar'16 - 21 Mar'16,RM," 2,600.56 ",30 Days,IR0191/16-F06,SO0191/16-F06,4-May-16,4-May-16,4-May-16,11056,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,5411/2016/REV1,4512693958,"2016 Gas Detector Monthly Rental (RM47,385.00)",,,,IR0191/16-F06,SO0191/16-F06,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,,,Rental Month - 22 Mar'16 - 31 Mar'16,RM," 3,810.93 ",30 Days,IR0191/16-F06,SO0191/16-F06,19-May-16,19-May-16,19-May-16,11139,11139,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191/16-F06,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F06) ,,,,RM,,30 Days ,IR0191/16-F06,SO0191/16-F06,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),5410/2016,4512608529,"2016 Gas Detector Monthly Rental (RM77,227.20)",,,,IR0192/16-E11,SO0191/16-E11,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,Rental Month - Jan'16,RM," 5,003.40 ",30 Days,IR0192/16-E11,SO0191/16-E11,9-Mar-16,9-Mar-16,9-Mar-16,10805,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,Rental Month - Feb'16,RM," 5,003.40 ",30 Days,IR0192/16-E11,SO0191/16-E11,9-Mar-16,9-Mar-16,9-Mar-16,10806,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,Rental Month - 1 Mar'16 - 21 Mar'16,RM," 3,388.65 ",30 Days,IR0192/16-E11,SO0191/16-E11,11-Apr-16,11-Apr-16,11-Apr-16,10956,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),5410/2016/REV1,4512662387,"2016 Gas Detector Monthly Rental (RM62,280.00)",,,,IR0192/16-E11,SO0191/16-E11,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,Rental Month - 22 Mar'16 - 31 Mar'16,RM," 1,212.75 ",30 Days,IR0192/16-E11,SO0191/16-E11,19-May-16,19-May-16,19-May-16,11137,11137,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,Rental Month - 1 Apr'16 - 30 Apr'16,RM," 3,752.55 ",30 Days,IR0192/16-E11,SO0191/16-E11,19-May-16,19-May-16,19-May-16,11138,11138,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-E11,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-E11),,,,RM,,30 Days,IR0192/16-E11,SO0191/16-E11,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-LCOT,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,5409/2016,4512613837,"2016 Gas Detector Monthly Rental (RM13,832.82)",,,,IR0191/16-LCOT,SO0191/16-LCOT,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191-16-LCOT,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,,,Rental Month - Jan'16,RM," 4,610.95 ",30 Days,IR0191/16-LCOT,SO0191/16-LCOT,9-Mar-16,9-Mar-16,9-Mar-16,10800,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-LCOT,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,,,Rental Month - Feb'16,RM," 4,610.95 ",30 Days,IR0191/16-LCOT,SO0191/16-LCOT,9-Mar-16,9-Mar-16,9-Mar-16,10801,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-LCOT,22-Feb-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,,,Rental Month - 1 Mar'16 - 21 Mar'16,RM ," 3,121.33 ",30 Days,IR0191/16-LCOT,SO0191/16-LCOT,4-May-16,4-May-16,4-May-16,11062,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-LCOT,31-Mar-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,5409/2016/REV1,4512666019,"2016 Gas Detector Monthly Rental (RM44,622.00)",,,,IR0191/16-LCOT,SO0191/16-LCOT,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30325,0,0,0 ,,
C,0191-16-LCOT,31-Mar-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,,,,RM,,30 Days,IR0191/16-LCOT,SO0191/16-LCOT,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30325,0,0,0 ,,
C,0191-16-LCOT,31-Mar-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-LCOT) ,,,,RM,,30 Days,IR0191/16-LCOT,SO0191/16-LCOT,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30325,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),5412/2016,4512614861,"2016 Gas Detector Monthly Rental (RM24,250.68)",,,,IR0191/16-F23,SO0191/16-F23,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,,Rental Month - Jan'16,RM," 7,851.06 ",30 Days,IR0191/16-F23,SO0191/16-F23,9-Mar-16,9-Mar-16,9-Mar-16,10798,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,,Rental Month - Feb'16,RM," 7,851.06 ",30 Days,IR0191/16-F23,SO0191/16-F23,9-Mar-16,9-Mar-16,9-Mar-16,10799,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,,Rental Month - 1 Mar'16 - 21 Mar'16,RM,,30 Days,IR0191/16-F23,SO0191/16-F23,,,,,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,,,,,,IR0191/16-F23,SO0191/16-F23,,,,,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,4512741509,"2016 Gas Detector Monthly Rental (RM44,622.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0191-16-F23,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-F23),,,,RM,,,IR0191/16-F23,SO0191/16-F23,,,,,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),5449/2016,4512589364,"2016 Gas Detector Monthly Rental (RM13,615.20)",,,,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),,,Rental Month - Jan'16,RM," 4,538.40 ",30 Days,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,16-Mar-16,16-Mar-16,16-Mar-16,10851,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),,,Rental Month - Feb'16,RM," 4,538.40 ",30 Days,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,16-Mar-16,16-Mar-16,16-Mar-16,10852,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),,,Rental Month - 1 Mar'16 - 21 Mar'16,RM," 3,072.54 ",30 Days,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,4-May-16,4-May-16,4-May-16,11061,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),,4512741509,"2016 Gas Detector Monthly Rental (RM73,899.00)",RM,,30 Days,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,,,,,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
C,0191-16-ST Joseph,22-Feb-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad-ST Joseph),,,Rental Month - 22 Mar'16 - 31 Mar'16,RM,,30 Days,IR0191/16-ST Joseph ,SO0191/16-ST Joseph ,,,,,,-,-,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30297,0,0,0 ,,
